Date,Open,High,Low,Close,Volume,VWAP,TWAP
2019-12-19,7287.77991236,7354.70175585,7078.70160936,7162.49451249,799842.12804184,7159.87384798,7159.66558865
2019-12-18,6640.1914574,7387.9410785,6479.62953575,7293.38776941,1154023.55000298,6806.78772064,6791.12867857
2019-12-17,6916.86119621,6949.74553238,6610.14077655,6643.52849274,830033.38235344,6810.66691349,6821.07710184
2019-12-16,7136.62434431,7148.16261034,6880.80336992,6920.15252841,641603.35075949,7052.16156499,7058.35017842
2019-12-15,7099.14701262,7166.86279383,7029.34323774,7132.67525937,492561.26746009,7106.85928325,7107.13453363
2019-12-14,7297.33424678,7306.82020898,7079.52060779,7106.86428657,522080.9715118,7207.85368904,7209.04800285
2019-12-13,7235.11394176,7321.70403567,7235.11394176,7293.1971303,514002.83561765,7270.44381321,7270.85302522
2019-12-12,7225.64723337,7283.86565538,7155.47088602,7240.38006334,602506.05443027,7214.54586007,7214.06860168
2019-12-11,7248.91913011,7299.05762286,7187.08040479,7220.44223735,520364.75002014,7245.11800175,7243.92782447
2019-12-10,7381.55632794,7414.11773894,7227.35675969,7255.41095216,632241.12770926,7332.10851613,7334.23567751
2019-12-09,7545.0735214,7603.53247802,7354.72544493,7384.00442475,545160.87147857,7494.36563623,7499.37322549
2019-12-08,7520.86594358,7615.25632184,7424.46420186,7510.13794076,428451.76331062,7521.77751528,7523.15987554
2019-12-07,7560.39843194,7640.03476356,7498.84735489,7521.92625717,484296.34965217,7546.94929936,7546.62069238
2019-12-06,7392.4696613,7558.69156856,7338.53068726,7558.69156856,626480.77889682,7420.15510501,7420.69288555
2019-12-05,7192.03541625,7684.49794344,7177.09409618,7391.80973905,704897.55280975,7364.47257298,7364.73540868
2019-12-04,7351.9344477,7651.15542635,7169.10004618,7205.12573298,819750.25576983,7322.56645698,7313.52669872
2019-12-03,7321.74977437,7440.87842471,7300.94324321,7359.35738204,503932.71840252,7364.57903775,7364.27511018
2019-12-02,7449.12718235,7492.81086193,7243.60454991,7327.0175453,565873.57594487,7369.39287035,7368.09331179
2019-12-01,7625.7468106,7625.7468106,7330.06350375,7461.64313093,705141.08180448,7426.3773555,7428.01957971
2019-11-30,7760.77355612,7831.39011512,7506.07364,7649.55060137,595948.87898594,7708.71390874,7703.69858055
2019-11-29,7441.27852896,7842.99877611,7429.7596721,7756.48809972,708601.14784065,7636.40885789,7633.01512386
2019-11-28,7524.8794045,7633.98623195,7423.00188867,7455.53561666,724138.57174931,7533.26853925,7534.98936827
2019-11-27,7194.44417694,7673.77946672,6921.68111507,7514.36185454,909808.8039672,7300.30107961,7285.77434132
2019-11-26,7158.84835987,7367.95177251,7087.7105274,7201.47079175,776179.77165334,7203.3988114,7199.37363471
2019-11-25,7089.60505985,7350.94064351,6678.41241192,7175.16643876,1153772.50007645,7073.59982607,7054.46501678
2019-11-24,7399.84512097,7415.99405152,7079.95499604,7086.76968212,721916.34686912,7265.89641257,7268.4837789
2019-11-23,7357.44107121,7432.81280595,7186.02405739,7403.25187656,659323.32927477,7319.45616764,7326.79164672
2019-11-22,7678.34857158,7732.25287469,6967.36234496,7371.24501008,1201272.25779601,7382.27336416,7413.11957244
2019-11-21,8170.51150403,8186.18918351,7606.52370684,7650.5080721,685087.64093618,7877.84856449,7916.86514973
2019-11-20,8186.46115677,8217.21101843,8095.25401007,8166.20442162,444772.93140278,8153.02985906,8152.88324737
